titulo;autores;anio;Línea prioritaria de investigación ECAP;tipo;estado;latitud;longitud;resumen
Evaluación de la eficiencia de tres activadores biológicos aplicados a pilas de compostaje ubicadas en la comunidad de San Francisco de Cruz Loma;"Gianni Carolina Défaz Visuete; Henry Alejandro Gualoto Simbaña";2020;Análisis Socioeconómicos y Ambientales;Apoyo a investigacion;Finalizado;-0.18234179;-78.53758245;El estudio evaluó tres activadores biológicos aplicados a pilas de compostaje en la comunidad de San Francisco de Cruz Loma. Comparó suero, fermento de alfalfa y microorganismos eficientes autóctonos con controles, monitoreando temperatura, pH, humedad y madurez en 12 pilas. El seguimiento permitió contrastar la eficiencia de los tratamientos y reportó obtención de compost maduro en 15 semanas, aportando una alternativa de aprovechamiento de residuos orgánicos comunitarios.
Evaluación de la ocupación de hábitat y comportamiento del oso andino (Tremarctos ornatus) en el Refugio de Vida Silvestre APH Ponce Paluguillo, Pichincha-Ecuador entre los años 2022 y 2024;Lenin Fernando Urrutia Merchan;2025;Ecología de páramo;Apoyo a investigacion;Finalizado;-0.306587781;-78.23251523;El estudio evaluó la ocupación de hábitat y el comportamiento del oso andino en el Refugio de Vida Silvestre APH Ponce Paluguillo entre 2022 y 2024. Instaló 13 estaciones de cámaras trampa en cinco ecosistemas de páramo y analizó visitas, actividad y ocupación con modelos de una temporada y SIG. Registró diferencias de comportamiento por sexo y mayor frecuencia de visitas en Faccha y Niguanchi, aportando insumos para conectividad y conservación.
Evaluación de la variación de la calidad del agua en la cuenca alta del río Pita;Marcelo Fernando Amores Palma;2019;Hidrología;Apoyo a investigacion;Finalizado;-0.619938913;-78.38153308;El trabajo evaluó la variación de la calidad del agua en la cuenca alta del río Pita a partir de 19 años de registros, cinco estaciones de monitoreo y el índice canadiense CCME. Analizó relaciones espacio-temporales entre calidad y cantidad de agua en sectores alto, medio y bajo. Los resultados mostraron mejor condición en la cabecera, deterioro en el tramo medio y recuperación parcial aguas abajo, evidenciando la influencia de los usos y presiones de la cuenca.
Evaluación del estado del humedal Pugllohuma, perteneciente al Área de Conservación Hídrica Antisana (ACHA), mediante el análisis de índices espectrales de imágenes capturadas desde una aeronave no tripulada (UAV);Kevin Alejandro Palma Castro;2020;Ecología de páramo;Apoyo a investigacion;Finalizado;-0.500285;-78.216706;El estudio evaluó el estado del humedal Pugllohuma, en el Área de Conservación Hídrica Antisana, a partir de topografía e índices espectrales obtenidos con UAV. Planificó vuelos con sensores RGB y multiespectral, generó productos fotogramétricos y mapas de agua para caracterizar unas 25 ha. Identificó zonas bajas con alta capacidad de acumulación y una vegetación circundante húmeda y en buen estado. Propuso validar y extender la metodología en otras épocas y humedales andinos.
Evaluación del impacto de los hongos micorrícicos arbusculares (AM) autóctonos y exógenos en el desarrollo de plantas de Polylepis incana Kunth;Karen Yesenia Suntaxi Cruz;2025;Restauración de la cobertura vegetal;Apoyo a investigacion;Finalizado;-0.306712;-78.232187;El estudio evaluó el efecto de hongos micorrícicos arbusculares autóctonos y exógenos sobre plántulas de Polylepis incana en la Reserva Hídrica Ponce Paluguillo. Comparó tratamientos con ambos inóculos y sin micorrizas, midiendo biomasa, longitud, esporas y colonización, con pruebas ANOVA y Kruskal-Wallis. El tratamiento exógeno incrementó significativamente las esporas de 7,17 a 9,70 por gramo de suelo, mostrando mayor capacidad de propagación que el autóctono en el periodo evaluado.
Exploración del producto satelital de precipitación IMERG V06 como insumo para la hidrología: determinación de curvas intensidad-duración-frecuencia (IDF) sub-diaria y diaria;Luis Marcelo Vargas Domínguez;2023;Hidrología;Apoyo a investigacion;Finalizado;-0.181394;-78.472193;El trabajo evaluó el producto satelital IMERG V06 como insumo para construir curvas intensidad-duración-frecuencia subdiarias y diarias entre 2000 y 2021. Comparó series de 30 minutos y resolución 0,1° con estaciones del Distrito Metropolitano de Quito y otras regiones, aplicando análisis de extremos y ajuste probabilístico. El desempeño dependió de las condiciones fisiográficas y climáticas: IMERG tendió a subestimar intensidades de corta duración y a sobreestimarlas en duraciones largas, limitando su uso directo en diseño hidrológico.
Impacto de la práctica del enduro en las propiedades hidrofísicas del suelo en el páramo de la cuenca alta del río Cinto;"Valeria Alegría Cadena de la Espriella; Lizeth Alejandra Yánez Catota";2019;Ecología de páramo;Apoyo a investigacion;Finalizado;-0.177553405;-78.55428309;"El estudio evaluó el impacto del enduro en las propiedades hidrofísicas del suelo de páramo en la cuenca alta del río Cinto. Comparó zonas intervenidas y no intervenidas mediante mediciones de densidad aparente, porosidad, conductividad hidráulica y retención de agua. Los resultados evidenciaron compactación en las áreas afectadas, con disminución de microporos, capacidad de retención y conductividad, y aumento de densidad aparente; estos cambios favorecen escorrentía y erosión."
Impacto de los incendios en las propiedades hidrofísicas y químicas del suelo, volcán Atacazo;Michelle Gabriela Quintana Buitrón;2021;Ecología de páramo;Apoyo a investigacion;Finalizado;-0.344524;-78.61744;El estudio cuantificó el impacto del incendio de septiembre de 2018 sobre las propiedades hidrofísicas y químicas de suelos de páramo del volcán Atacazo. Comparó microcuencas quemada y no quemada, dos profundidades, coberturas de pajonal y almohadilla y un gradiente altitudinal, con ensayos de laboratorio y campo. El diseño detectó diferencias significativas en varios parámetros, especialmente en las partes alta y media del gradiente, y aportó una base espacial para evaluar afectación por incendios.
Lateral Transport of Carbon due to Soil Erosion by Rainfall Simulation in the Northern Páramos of Ecuador;Rommel Patricio Arboleda Ruales;2019;Cambio climático y global;Apoyo a investigacion;Finalizado;-0.397425;-78.252671;La tesis evaluó transporte lateral de carbono y erosión del suelo bajo lluvia simulada en páramos del norte del Ecuador. Comparó usos y alteraciones del suelo, incluidos pajonal, agricultura, barbecho, pastizal, extracción de suelo y áreas afectadas por oleoducto, con intensidad promedio de lluvia de 10,5 mm/h. Los resultados identificaron como prioritarias para monitoreo y restauración las zonas con minería de suelo, remoción por oleoducto y pastoreo, por su mayor vulnerabilidad a degradación y erosión.
Micropropagación in vitro de Astragalus geminiflorus, una especie adaptada a zonas con degradación de suelo y endémica del Ecuador;Juan José Herrera Montenegro;2019;Restauración de la cobertura vegetal;Apoyo a investigacion;Finalizado;-0.480548;-78.23081;"El trabajo desarrolló un esquema de micropropagación in vitro de Astragalus geminiflorus, especie endémica adaptada a suelos degradados. Comparó explantes de campo y semillas, tratamientos de desinfección, medios de cultivo, enraizamiento y sustratos de aclimatación. Las semillas resultaron el material inicial más apropiado; la desinfección con hipoclorito de sodio al 1 % redujo contaminación de explantes. El protocolo aporta insumos para multiplicación y restauración de poblaciones en ambientes degradados."
Participatory management: Guayllabamba case study;Claudia Prehn Garcés;2019;Análisis Socioeconómicos y Ambientales;Apoyo a investigacion;Finalizado;-0.250818;-78.474326;El estudio de caso analizó la gestión participativa del agua en la cuenca Guayllabamba, Ecuador, enfocándose en interacciones, perspectivas y relaciones entre instituciones públicas, ONG y asociaciones de usuarios. Aplicó un diseño mixto emergente con entrevistas, encuesta y observación directa. Identificó fricciones derivadas de cambios institucionales y de planes percibidos como técnicos y abstractos, y mostró la importancia del diálogo entre actores para volver más práctica la gestión del agua.
Respuesta hídrica de suelos de páramo bajo diferentes niveles de degradación, estudio de caso a escala de parcela;Luis Enrique Quinteros Maldonado;2017;Hidrología;Apoyo a investigacion;Finalizado;-0.48224323;-78.23330096;El trabajo analizó la respuesta hídrica de suelos de páramo bajo distintos niveles de degradación en la unidad Jatunhuaycu, al oeste del nevado Antisana. Consideró un arenal de 21 ha asociado a pastoreo ovino y combinó mediciones de propiedades hidrofísicas, monitoreo de lluvia y análisis de erosión a escala de parcela. La conductividad hidráulica saturada varió entre niveles de degradación y mostró infiltración rápida en varios escenarios, información relevante para interpretar pérdida de regulación y aporte de sedimentos.
Simulación de la hidrología de la cuenca Humboldt del volcán Antisana;Jean Carlos Ruiz Hernández;2015;Hidrología;Apoyo a investigacion;Finalizado;-0.520409916;-78.22359028;El trabajo simuló la hidrología de la cuenca Humboldt del volcán Antisana sin considerar el aporte glaciar. Implementó el modelo físico DHSVM con modelo digital de elevación, cobertura vegetal, tipo y espesor de suelo, red de drenaje y datos meteorológicos, y calibró y validó caudales observados. Validó la representación de caudal base y respuesta a lluvias, y propuso parámetros de suelo y vegetación útiles para investigaciones futuras, aunque reconoce limitaciones de datos meteorológicos multianuales.
Sounds of Regeneration: Structural and Bioacoustic Characteristics of Paramo, Primary Forest, and Secondary Forest in the High Elevation Tropical Andes;Alyssa Killingsworth;2025;Ecología de páramo;Apoyo a investigacion;Finalizado;-0.517583;-78.235406;El proyecto comparó características estructurales y bioacústicas de páramo, bosque primario y bosque secundario de los Andes tropicales de gran altitud. Realizó transectos de vegetación y registró sonidos con unidades autónomas, incorporando variables de cobertura, pendiente, temperatura y humedad y análisis estadísticos. Encontró diferencias estructurales entre coberturas y relaciones entre la actividad sonora y las condiciones del hábitat. Propone ampliar el muestreo para precisar patrones de regeneración.
Wetland monitoring technification for the Ecuadorian Andean region based on a multi-agent framework;"Esteban Valencia; Iván Changoluisa; Kevin Palma; Patricio Cruz; Deyanira Valencia; Paul Ayala; Victor Hidalgo; Diego Quisi; Nelson Jara; Diana Puga";2022;Ecología de páramo;Apoyo a investigacion;Finalizado;-0.502555;-78.212197;El artículo desarrolló y validó un marco multiagente de monitoreo de humedales altoandinos que combina mediciones de campo, imágenes satelitales y ortomosaicos de UAV. Lo aplicó en el humedal Pugllohuma, Área de Conservación Hídrica Antisana, mediante procesamiento RGB, índices multiespectrales y análisis topográfico. El esquema de imagen RGB estimó 36 % de área saturada, cercano al 39,27 % obtenido con referencia multiespectral, y ofrece una alternativa de bajo costo para monitoreo periódico y escalable.
Caracterización morfológica y molecular del agente causal de la pudrición radicular de pajonal (Calamagrostis fibrovaginata);Kevin Sebastian Bejarano Coronel;2026;Ecología de páramo;Becas;En curso;-0.499116667;-78.21825167;Esta investigación en curso busca caracterizar al agente asociado a la pudrición radicular de Calamagrostis fibrovaginata en el páramo de Antisana. Trabaja con aislamientos obtenidos de plantas afectadas, cultivos en PDA, microscopía de estructuras asexuales, amplificación de ITS, β-tubulina y TEF1-α, filogenia de máxima verosimilitud y ensayos de patogenicidad en plantas sanas e inoculadas. Se esperan una identificación taxonómica sustentada y evidencia experimental sobre el papel patogénico del aislado, útiles para comprender el deterioro del pajonal.
Diseño de la cadena de valor para el vivero de Yunguilla y Cruz Loma adaptada a los distintos métodos de propagación empleados en su producción para optimizar procesos y recursos;Xiomara Milena Yepez Franco;2026;Economía Ecológica y Economía Ambiental;Becas;En curso;-0.182913;-78.567421;El proyecto analiza la cadena de valor de plantas nativas en los viveros comunitarios Las Tolas, en Gualea, y San Francisco de Cruz Loma, en las faldas del Rucu Pichincha. Con un diseño mixto, observacional y transversal para datos de 2025, integra entrevistas, observación, registros administrativos, mapeo de flujos, cálculo de costos y comparación con un vivero comercial. Se espera identificar actores, costos y precios mínimos viables, así como proponer acciones 5W2H y B2B para fortalecer sostenibilidad, diversificación y comercialización.
Análisis comparativo del estado ecológico de la vegetación acuática en dos humedales altoandinos del volcán Antisana;Maria Gracia Portilla Rivadeneira;2019;Ecología de páramo;Becas;Finalizado;-0.489631;-78.216805;"Comparó el estado ecológico de la vegetación acuática en los humedales Patugllana y Pugllohuma, al pie del volcán Antisana, durante épocas lluviosa y seca de 2018–2019. Identificó plantas acuáticas y algas filamentosas, y relacionó su composición con parámetros físico-químicos, nutrientes, hierro y sulfatos. Registró 17 especies de plantas y ocho géneros de algas; Patugllana tuvo mayor riqueza y Pugllohuma mayor cobertura de algas filamentosas. En época seca ambos humedales perdieron casi toda su agua y cambiaron fuertemente su estructura."
Análisis de la calidad de agua en las áreas de conservación hídrica del FONAG para la evaluación de la eficacia de las estrategias de protección y conservación hídrica;Michelle Jazmín Parra Pedraza;2020;Análisis Socioeconómicos y Ambientales;Becas;Finalizado;-0.509635;-78.273149;Analizó la calidad de agua y la integridad ecológica de ríos de las Áreas de Conservación Hídrica Alto Pita, Antisana y Ponce Paluguillo, para evaluar estrategias de FONAG entre 2014 y 2019. Comparó sitios gestionados y controles mediante parámetros físico-químicos, microbiológicos, biológicos y de hábitat, incluyendo ICA, TSI, EPT, ABI y ASPT-E. Los ríos dentro de las áreas manejadas mostraron mejor calidad y menores fósforo total, fosfatos, DBO5 y coliformes fecales que los controles. La evidencia respalda efectos positivos de reducir presión ganadera y recuperar cobertura vegetal.
Análisis de la concentración y distribución de parámetros físico químicos del embalse Salve Faccha;Andrea Estefania Llumiquinga Suntaxi;2022;Manejo de embalses;Becas;Finalizado;-0.36518;-78.172931;Analizó la concentración y distribución de parámetros físico-químicos en el embalse Salve Faccha, reservorio altoandino que aporta agua al abastecimiento de Quito. Combinó datos históricos, registros de una hidroboya multiparamétrica y muestreos mensuales, usando climogramas Walter-Lieth, rosas de viento, mapas de calor e isolíneas verticales para examinar la columna de agua. Identificó estratificaciones térmicas leves a 2,75 y 7,50 m y químicas entre 5 y 10 m durante la época relativamente seca, influenciadas por el viento, sin anoxia ni estratificación marcada.
Análisis de la concentración y distribución espacial de parámetros físicos en el embalse La Mica;"Andrea Paulina López Cando; Andrés Vinicio Yar Hernández";2019;Manejo de embalses;Becas;Finalizado;-0.543074828;-78.22592302;"Analizó la distribución temporal y espacial de parámetros físicos en el embalse La Mica, Napo, usando registros históricos de EPMAPS y siete campañas de muestreo con 15 puntos a distintas profundidades. Se elaboraron isolíneas anuales y gráficos tridimensionales para oxígeno disuelto, temperatura, pH, conductividad, sólidos, turbidez, color y clorofila-a. El embalse presentó estratificación térmica leve entre noviembre y mayo, mezcla completa de junio a octubre y una transparencia principalmente influida por clorofila-a; entre 1998 y 2018 la temperatura media disminuyó."
Análisis del modelo de gestión de agua potable comunitaria de Yunguilla, parroquia Calacalí, perteneciente al cantón Quito, provincia de Pichincha, Ecuador;Gabriela Elizabeth Camino Nuñez;2026;Análisis Socioeconómicos y Ambientales;Becas;Finalizado;-0.004326;-78.584211;Analizó la sostenibilidad del modelo comunitario de agua potable de Yunguilla, parroquia Calacalí, a partir de sus dimensiones técnica, económica, sociocultural y ambiental. Empleó entrevistas a profundidad, encuestas de hogares, observación, cartografía social y grupos focales, sistematizados con una matriz de cuádruple resultado. Encontró una organización comunitaria consolidada y una infraestructura funcional, pero con tuberías y válvulas deterioradas, turbidez estacional, dependencia de un técnico y falta de fondo de emergencia. El estudio plantea fortalecer mantenimiento, relevo técnico y gestión financiera.
Caracterización del uso de hábitat de tres especies de roedores en páramos de la Reserva Ecológica Antisana;Ariatna José Villarreal Jaramillo;2019;Ecología de páramo;Becas;Finalizado;-0.47715;-78.22013056;"Caracterizó el uso de hábitat, desplazamiento y actividad de Akodon mollis, Phyllotis haggardi y Thomasomys paramorum en cuatro transectos de páramo de la Reserva Ecológica Antisana. Integró caracterización florística, captura e identificación de roedores, rastreo de movimientos y análisis de diversidad. A. mollis se asoció con pajonal y Chuquiraga, P. haggardi con áreas abiertas y Plantago rigida, y T. paramorum con arbustales. Las especies compartieron nidos, comederos y refugios, pero mostraron preferencias diferenciales; el bajo tamaño muestral limita confirmarlas estadísticamente."
Caracterización física y climatológica de la cuenca alta, media y baja de los ríos Machángara, Monjas y San Pedro del Distrito Metropolitano de Quito;"Yulexi Nicolle Resabala Loor; Darwin Mauricio Tipan Guano";2025;Hidrología;Becas;Finalizado;-0.230794;-78.506778;"Caracterizó las cuencas alta, media y baja de los ríos Machángara, Monjas y San Pedro del DMQ para identificar zonas vulnerables y óptimas de manejo. Integró morfometría, clima, cobertura y uso del suelo mediante QGIS, RStudio y datos de estaciones meteorológicas 2019–2023. Las cuencas presentan formas alargadas y densidades de drenaje bajas a moderadas, pero las zonas altas son más susceptibles a escorrentía, erosión y deslizamientos. Machángara y Monjas muestran urbanización acelerada en zonas medias y bajas; San Pedro conserva mayor cobertura natural."
Caracterización isotópica de un evento de crecida sobre la microcuenca 1 del río Jatunhuaycu;Luis Felipe Silva Palmay;2019;Hidrología;Becas;Finalizado;-0.488580457;-78.23934858;Caracterizó las señales de δ18O y δ2H de lluvia, escorrentía y agua de dos niveles de suelo durante una crecida en la microcuenca 1 del río Jatunhuaycu, en los páramos de Cuscungo. Combinó monitoreo hidrológico y análisis isotópico para separar agua de evento y preevento. Las señales del suelo se relacionaron con la escorrentía, mientras la precipitación no fue su fuente directa principal. La fracción de preevento representó entre 89 % y 99 % del caudal, indicando predominio de agua almacenada en el sistema.
Caracterización morfológica y molecular del agente causal de la muerte descendente en el árbol de papel (Polylepis incana);Ariana Ivette Zumba Montalvo;2026;Ecología de páramo;Becas;Finalizado;-0.499092;-78.214425;Caracterizó el agente de la muerte descendente de Polylepis incana en el Área de Conservación Hídrica Ponce Paluguillo mediante cultivo, microscopía, genes ITS, β-tubulina y TEF1-α, filogenia multilocus y ensayos de patogenicidad en plantas control e inoculadas. El aislado UCEFCAAZ-F1 fue identificado como Fusarium proliferatum con alta probabilidad filogenética. Las plantas inoculadas alcanzaron 61 % de severidad final, mientras los controles permanecieron asintomáticos, confirmando patogenicidad y vinculando el hongo con la enfermedad observada.
Caracterización morfométrica cuencas laderas del Pichincha: caracterización morfométrica cuenca Rumipamba;Jordan Daniel Loachamin Quinatoa;2025;Hidrología;Becas;Finalizado;-0.185304;-78.519281;"Caracterizó morfométricamente la cuenca Rumipamba, en las laderas del Pichincha, mediante trabajo de campo y procesamiento cartográfico. Delimitó el área, instaló nueve puntos de control y ejecutó un vuelo de dron DJI Mavic 3M con más de 5.000 imágenes; generó un DEM y ortomosaico en Agisoft Metashape y calculó parámetros con QGIS y SAGA GIS. La cuenca, de 577 ha, mostró forma alargada, pendiente media de 37,9°, densidad de drenaje de 2,2 km por km² y potencial de escorrentía rápida y erosión."
Contaminación por microplásticos en lagos tropicales altoandinos: perspectivas sobre su origen y distribución en zonas remotas;Mariuxi de los Angeles Ramos Araujo;2022;Análisis Socioeconómicos y Ambientales;Becas;Finalizado;-0.392246;-78.152676;"Cuantificó y caracterizó microplásticos en agua superficial y sedimentos de cinco lagos altoandinos tropicales del sistema Papallacta–Oyacachi, entre 3.848 y 4.245 m s. n. m. Analizó abundancia, tamaño, color, forma y composición polimérica, y examinó posibles fuentes locales y atmosféricas. Registró en promedio 10 ± 5 partículas por m³ en agua y 2.838 ± 1.489 partículas por kg en sedimentos; predominaron fibras y películas, y celofán, polietileno y polipropileno. El documento señala pesca, campismo, senderismo y vientos amazónicos como posibles vías de aporte."
Desarrollo del Enfoque de Múltiples-Hipótesis para la Conceptualización de Procesos Hidrológicos en una cuenca de Páramo Andino del Norte del Ecuador usando Modelos de Lluvia-Escorrentía;"Magaly Estefanía García González; Karla Tatiana Reinoso Luzuriaga";2022;Hidrología;Becas;Finalizado;-0.496249;-78.253563;Desarrolló y contrastó hipótesis conceptuales de procesos hidrológicos para dos microcuencas de páramo de la unidad Jatunhuaycu, usando modelos lluvia–escorrentía. Calibró y evaluó configuraciones de reservorios, funciones de transferencia y criterios de eficiencia e información para reproducir caudales observados. Las microcuencas, aunque cercanas y de tamaño similar, requirieron conceptualizaciones distintas: tres reservorios en paralelo con pérdida para M2 y tres reservorios en paralelo para M3. Los resultados sugieren efectos relevantes de geología, flujos rápidos y lentos, e infiltración profunda.
Determinación de perímetros de protección para las captaciones de agua subterránea de los sistemas acuíferos del Distrito Metropolitano de Quito como herramienta de gestión del recurso hídrico;Felipe Sebastián Castillo Realpe;2017;Hidrogeología;Becas;Finalizado;-0.184665;-78.488304;"Delimitó zonas vulnerables a contaminación y perímetros de protección para captaciones de agua subterránea de los sistemas acuíferos del Distrito Metropolitano de Quito. Aplicó DRASTIC en ArcGIS, lo contrastó con GOD y diseñó perímetros mediante Wyssling y Jacobs & Bear, considerando fuentes potenciales de contaminación. DRASTIC estimó 1.886,6 ha de vulnerabilidad baja y 707,46 ha alta; las áreas más vulnerables se ubicaron, entre otras, en San José del Inca, La Magdalena, La Santiago, El Pintado, Solanda y Las Cuadras. Recomienda DRASTIC para el medio urbano."
Efecto de la hidrología sobre el contenido de Carbono Orgánico Disuelto (DOC) en cuatro turberas altoandinas con diferentes grados de intervención;Geordy Alexander Guerrero Minaya;2022;Cambio climático y global;Becas;Finalizado;-0.518977;-78.284006;Analizó los controles topográficos e hidrometeorológicos del carbono orgánico disuelto en cuatro turberas altoandinas con distintos niveles de intervención, ubicadas en Antisana y Alto Pita. Relacionó concentraciones de DOC con precipitación, temperatura, color, sólidos disueltos y condiciones de drenaje. La topografía no explicó las concentraciones y los controles fueron específicos de cada sitio: precipitación en Jatunhuaycu y Tungurahua, precipitación previa al muestreo en Chamilco, y precipitación junto con drenaje en Pugllohuma. Recomienda monitoreo más prolongado para apoyar manejo y restauración.
Efecto de la morfología de las cuencas sobre la dinámica espacio temporal de humedales alto andino;David Ismael Guaña Caiza;2022;Hidrología;Becas;Finalizado;-0.385827;-78.147369;Determinó la variación espacio-temporal del área superficial de humedales altoandinos y su relación con la morfología de cuencas en el sistema Ñucanchi Turubamba, Papallacta–Oyacachi. Procesó imágenes SAR Sentinel-1 en Google Earth Engine con clasificación Otsu, calculó área inundada, frecuencia de inundación y parámetros geomorfológicos, y aplicó PCA y agrupamientos. La extensión inundada varió de 0,6 % a 42,6 % de las cuencas y el máximo ocurrió en mayo. Identificó tres grupos de cuencas con comportamientos de inundación diferenciados.
Estimation of Deer Population by Means of Indirect Methods: Distance method, Fecal Accumulation Rate, Fecal Standing Crop at the Antisana Paramo in Ecuador;Henry José Herrera Palacios;2019;Ecología de páramo;Becas;Finalizado;-0.487926;-78.210394;"Estimó la población de venado de cola blanca en el páramo del Área de Conservación Hídrica Antisana mediante conteos desde puntos de observación y tres métodos indirectos: acumulación y permanencia de heces, y muestreo por distancias. Los resultados variaron de 668,55 a 956,67 individuos, según el método; el conteo directo estableció un mínimo de 760. Los venados prefirieron vegetación herbácea húmeda y luego seca. El muestreo por distancias y el recuento de heces fueron los más fiables, recomendándose el primero para monitoreo futuro."
Estudio de la influencia de la morfología del embalse Salve Faccha en su estado trófico actual;"Jonathan Paúl Cabascango Gualacata; Daniel Fernando Guachamín Andrade";2018;Manejo de embalses;Becas;Finalizado;-0.367911;-78.165984;"Estudió la relación entre morfología, evolución y estado trófico del embalse Salve Faccha mediante batimetría con ecosonda en 51 transectos, ortofotografías y análisis físico-químicos de agua. Calculó parámetros morfométricos, índice trófico modificado de Toledo Jr. y criterios OECD. Para 2017, el volumen se había reducido aproximadamente 3 % respecto de 2007, con pérdida predominante en la zona lacustre. El embalse fue clasificado como eutrófico; su cubeta es poco profunda, extensa y alargada, condiciones que favorecen disponibilidad de nutrientes."
Evaluación de la edad del resto de poda de Lantana camara como material de empaque en un sistema de biofiltración para aguas residuales domésticas;David Andrés Moreno Jaya;2019;Análisis Socioeconómicos y Ambientales;Becas;Finalizado;-0.202909;-78.490845;"Evaluó cómo la edad y granulometría de restos de poda de Lantana camara influyen en biofiltros de aguas residuales domésticas del laboratorio de Ingeniería Ambiental de la EPN, Quito. Se operaron cuatro reactores a escala de laboratorio, con materiales gruesos o finos y con o sin espinas, monitoreando DQO semanalmente y pH, temperatura, color y turbidez a diario. El material fino sin espinas alcanzó la mayor remoción media de DQO, 60,59 %; todos los biofiltros estabilizados superaron 54 %."
Evaluación de la herramienta de simulación del recurso hídrico Hydro-BID para la cuantificación de la disponibilidad de agua en la cuenca alta del río Guayllabamba y unidades hídricas aportantes de agua para el Distrito Metropolitano de Quito;Viviana Paola Bravo Ortiz;2020;Hidrología;Becas;Finalizado;-0.517488;-78.219954;Evaluó Hydro-BID para cuantificar disponibilidad hídrica en la cuenca alta del Guayllabamba y unidades aportantes al Distrito Metropolitano de Quito. Alimentó y calibró el modelo con precipitaciones, temperaturas y caudales diarios, contrastando simulaciones con observaciones en numerosas estaciones y unidades hidrográficas. La herramienta reprodujo aceptablemente los caudales medios diarios, pero tendió a sobreestimar picos altos y subestimar caudales bajos, en parte por incertidumbre de entradas y falta de representación del aporte glaciar. El estudio destaca la importancia de mejorar datos de monitoreo.
Evaluación de la respuesta fenológica y morfológica de 13 especies de plantas de páramo ante un calentamiento experimental;Mauricio Gabriel Sáenz Lituma;2019;Cambio climático y global;Becas;Finalizado;-0.473508;-78.184691;Evaluó la respuesta fenológica y morfológica de 13 especies de plantas del páramo del Antisana frente a un calentamiento experimental en cámaras abiertas. Registró fases reproductivas y las comparó con datos climáticos y plantas sin calentamiento. No encontró un desplazamiento fenológico general significativo, aunque algunas fenofases se adelantaron hasta dos meses dentro de las cámaras. La producción de estructuras reproductivas fue menor bajo calentamiento. La floración y fructificación no fueron sincrónicas entre especies y la precipitación aparece como un factor potencialmente relevante.
Evaluación de riesgos por la propagación del volumen de avenida de la Represa Rumipamba Alto ubicado en el barrio la Primavera, parroquia Belisario Quevedo en el Centro-Norte de la Ciudad de Quito;"María José Haro Morales; José Alexander Saldarriaga Ibarra";2026;Manejo de embalses;Becas;Finalizado;-0.178598;-78.509722;Evaluó la propagación de una onda de avenida bajo escenarios hipotéticos de falla de la represa Rumipamba Alto, en la quebrada Rumipamba de Quito. Integró levantamiento GNSS-RTK, fotogrametría con dron, modelos digitales de terreno de EPMAPS, análisis hidrológico y modelación hidráulica bidimensional en Iber. Estimó extensión, calados, velocidades y tiempos de llegada, y elaboró zonificación de peligro y evaluación preliminar de exposición. El área inundada varió de aproximadamente 0,23 km² sin avenida a 2,94 km² en el escenario límite.
Evaluación de tres sustratos y un control de una especie de Polylepis (Polylepis incana) para la restauración de un ecosistema nativo en el Área de Protección Hídrica Ponce Paluguillo;Alcides Guzman;2025;Restauración de la cobertura vegetal;Becas;Finalizado;-0.152846;-78.213567;El estudio evaluó cuatro tratamientos de sustrato para propagar esquejes de Polylepis incana en el vivero de Ponce Paluguillo, como apoyo a la restauración. Contrastó mezclas de tierra negra, tierra de páramo, hojarasca y cascajo mediante propiedades físico-químicas, densidad, nutrientes y respuesta de las plántulas. Los tratamientos no difirieron en pH, conductividad, potencial redox ni cenizas, pero sí en densidad, nitrógeno y fósforo. Concluye que la porosidad, baja compactación y balance de materia orgánica son determinantes para el establecimiento inicial.
Evaluación del servicio ecosistémico correspondiente a la producción de agua en la cuenca alta del río Guayllabamba utilizando el modelo computacional InVEST;Sandra Janeth Torres Paguay;2018;Economía Ecológica y Economía Ambiental;Becas;Finalizado;-0.322179;-78.427593;"Evaluó el servicio ecosistémico de producción de agua en la cuenca alta del río Guayllabamba mediante el modelo InVEST. Integró una red de 133 pluviómetros, precipitación satelital corregida, evapotranspiración, caudales de 12 subcuencas y cobertura y uso del suelo para un balance hídrico anual espacialmente distribuido. Generó mapas de rendimiento hídrico para apoyar delimitación de zonas de conservación y manejo sostenible. El modelo mostró rendimientos de hasta 1.500 mm por año en zonas altas cercanas a Antisana, Cayambe y Pichincha; además reveló la importancia de corregir datos globales de precipitación con observaciones de campo."
Evaluación espacial de la dinámica de sedimentos y de color real en los ríos Jatunhuayco y Antisana del sistema de agua La Mica Quito Sur;"María Cristina Alarcón Espinoza; Jhonny Alexander Flores Ruales";2026;Hidrología;Becas;Finalizado;-0.502216;-78.246818;"Evaluó la dinámica de sedimentos y el color real en los ríos Jatunhuayco y Antisana del sistema La Mica–Quito Sur, entre diciembre de 2024 y mayo de 2025. Realizó campañas en varios puntos, mediciones de caudal con micromolinete y dilución química, análisis de fracciones de sólidos, turbidez, color, pH, temperatura y oxígeno, y procesamiento en RStudio y QGIS. Jatunhuayco registró mayores sedimentos y variaciones de color; Antisana fue más estable por su origen glaciar y aportes de ojos de agua."
